time,signal
3.381352541,-0.0041313
3.385354142,-0.0024088
3.389355742,0.00083421
3.393357343,0.002789
3.397358944,0.0057984
3.401360544,0.0080485
3.405362145,0.003796
3.409363745,-0.0030669
3.413365346,-0.0058596
3.417366947,-0.0036237
3.421368547,8.02E-05
3.425370148,-0.00098709
3.429371749,-0.0038221
3.433373349,-0.00034071
3.43737495,0.0038907
3.441376551,0.0028576
3.445378151,0.0023348
3.449379752,0.0021558
3.453381353,-0.0024759
3.457382953,-0.0051148
3.461384554,-0.0012332
3.465386154,0.00029223
3.469387755,-0.0023237
3.473389356,0.00080253
3.477390956,0.0073303
3.481392557,0.0055667
3.485394158,-0.0017312
3.489395758,-0.0037892
3.493397359,-0.0018696
3.49739896,-0.0024137
3.50140056,-0.0029871
3.505402161,-0.0004878
3.509403762,0.0010253
3.513405362,0.00037301
3.517406963,0.0017338
3.521408563,0.0047863
3.525410164,0.0041559
3.529411765,-0.00074316
3.533413365,-0.0038175
3.537414966,-0.0029984
3.541416567,-0.0010625
3.545418167,0.0010898
3.549419768,0.00062727
3.553421369,-0.0035885
3.557422969,-0.0040899
3.56142457,0.0020007
3.56542617,0.0059508
3.569427771,0.0033566
3.573429372,0.00065411
3.577430972,0.0017338
3.581432573,0.0015718
3.585434174,-0.003066
3.589435774,-0.0068237
3.593437375,-0.004313
3.597438976,0.0011005
3.601440576,0.0029583
3.605442177,0.0015422
3.609443778,0.00037978
3.613445378,0.00047658
3.617446979,0.00084689
3.621448579,-0.00055038
3.62545018,-0.002384
3.629451781,-0.00024489
3.633453381,0.0044335
3.637454982,0.0026971
3.641456583,-0.0059655
3.645458183,-0.0065188
3.649459784,0.0044707
3.653461385,0.008411
3.657462985,-0.00026931
3.661464586,-0.0041083
3.665466186,0.00085814
3.669467787,0.000853
3.673469388,-0.0026837
3.677470988,-0.0016792
3.681472589,-0.0015556
3.68547419,-0.0019643
3.68947579,0.002147
3.693477391,0.0041115
3.697478992,0.0016883
3.701480592,0.0010701
3.705482193,0.0015862
3.709483794,0.00074222
3.713485394,1.61E-05
3.717486995,-0.0018052
3.721488595,-0.0055816
3.725490196,-0.006223
3.729491797,-0.0013951
3.733493397,0.0034197
3.737494998,0.0051351
3.741496599,0.0016714
3.745498199,-0.010033
3.7494998,-0.0091929
3.753501401,0.016676
3.757503001,0.023819
3.761504602,-0.0025484
3.765506202,-0.014822
3.769507803,-0.0057126
3.773509404,-0.0022616
3.777511004,-0.0027865
3.781512605,0.00014385
3.785514206,0.0021589
3.789515806,0.001693
3.793517407,0.001504
3.797519008,0.0020929
3.801520608,0.00088663
3.805522209,-0.0010699
3.80952381,-0.00066806
3.81352541,-0.001391
3.817527011,-0.0035078
3.821528611,-0.00018788
3.825530212,0.0044075
3.829531813,0.0021297
3.833533413,-0.0026678
3.837535014,-0.0038332
3.841536615,9.87E-06
3.845538215,0.0055889
3.849539816,0.0047294
3.853541417,-0.0012995
3.857543017,-0.0020096
3.861544618,0.00070283
3.865546218,-0.0029042
3.869547819,-0.007102
3.87354942,-0.00083701
3.87755102,0.0071617
3.881552621,0.0029948
3.885554222,-0.0056141
3.889555822,-0.0056007
3.893557423,-0.00010314
3.897559024,0.0048214
3.901560624,0.0071161
3.905562225,0.0046859
3.909563826,0.0011578
3.913565426,0.00014718
3.917567027,-0.0020717
3.921568627,-0.0060724
3.925570228,-0.0061574
3.929571829,-0.0021611
3.933573429,0.00050855
3.93757503,0.00051254
3.941576631,-3.17E-05
3.945578231,0.0010964
3.949579832,0.0044525
3.953581433,0.0059625
3.957583033,0.0025
3.961584634,-0.0019452
3.965586234,-0.0029991
3.969587835,-0.0032095
3.973589436,-0.0042578
3.977591036,-0.0010767
3.981592637,0.0033405
3.985594238,0.00046434
3.989595838,-0.0020199
3.993597439,0.0029664
3.99759904,0.004266
4.00160064,-0.0010257
4.005602241,-0.0018539
4.009603842,0.0014168
4.013605442,0.00047338
4.017607043,-0.0025157
4.021608643,-0.0022673
4.025610244,-0.0008425
4.029611845,0.00020519
4.033613445,0.0019682
4.037615046,0.0028473
4.041616647,0.0014321
4.045618247,-0.0019063
4.049619848,-0.0053282
4.053621449,-0.0040388
4.057623049,0.0024107
4.06162465,0.0060998
